Classi,N. Classi,Scuola,Settimana,Giorno,Fascia Oraria,Data e Ora,Formatrice,Accorpamento
"4BU, 4CU",2,Liceo Pascal,3,Martedì,Pomeriggio,17/02/2026 14:00-16:00,Anita,Sì
"5C, 5E",2,Liceo Scientifico e Linguistico M.Curie,3,Mercoledì,Pomeriggio,18/02/2026 14:00-16:00,Andreea,Sì
"3AtMb, 3F, 3G, 3InA",4,"Liceo Scientifico Einstein, IIS L.Da Vinci-De Giorgio",3,Giovedì,Mattino1,19/02/2026 09:00-11:00,Anita,Sì
"3O, 4G",2,Liceo Scientifico Leonardo da Vinci,3,Giovedì,Mattino1,19/02/2026 09:00-11:00,Andreea,Sì
"3BLSA, 3CI",2,IIS Amedeo D'Aosta,3,Giovedì,Mattino2,19/02/2026 11:00-13:00,Ida,Sì
"4B, 4H",2,Liceo Scientifico G. Galilei,3,Giovedì,Mattino2,19/02/2026 11:00-13:00,Anita,Sì
"3C, 3D",2,Liceo Scientifico e Linguistico M.Curie,3,Giovedì,Mattino2,19/02/2026 11:00-13:00,Andreea,Sì
"4AS-SAA, 4DS",2,Liceo Pascal,3,Giovedì,Pomeriggio,19/02/2026 14:00-16:00,Anita,Sì
"3C, 4B",2,IIS. E. Mattei,3,Venerdì,Mattino1,20/02/2026 09:00-11:00,Andreea,Sì
"4AS, 4BS",2,Liceo Pascal,3,Venerdì,Pomeriggio,20/02/2026 14:00-16:00,Margherita,Sì
"3CI, 4CI",2,IIS Amedeo D'Aosta,4,Lunedì,Mattino2,23/02/2026 11:00-13:00,Andreea,Sì
"3CL, 3GL",2,IIS PeanoRosa,4,Lunedì,Mattino2,23/02/2026 11:00-13:00,Anita,Sì
"5AM, 5E",2,Liceo Scientifico P. P. Pasolini,4,Lunedì,Pomeriggio,23/02/2026 14:00-16:00,Margherita,Sì
"3BLSA, 4ALSA",2,IIS Amedeo D'Aosta,4,Martedì,Mattino2,24/02/2026 11:00-13:00,Ida,Sì
"5C, 5E",2,Liceo Scientifico e Linguistico M.Curie,4,Martedì,Pomeriggio,24/02/2026 14:00-16:00,Anita,Sì
"3AtMb, 3InA",2,IIS L.Da Vinci-De Giorgio,4,Mercoledì,Mattino2,25/02/2026 11:00-13:00,Anita,Sì
"3F, 3G",2,Liceo Scientifico Einstein,4,Mercoledì,Mattino2,25/02/2026 11:00-13:00,Ida,Sì
"3A, 4C",2,IIS. E. Mattei,4,Mercoledì,Pomeriggio,25/02/2026 14:00-16:00,Anita,Sì
"5C, 5D",2,Liceo Scientifico P. P. Pasolini,4,Mercoledì,Pomeriggio,25/02/2026 14:00-16:00,Andreea,Sì
"5F, 5G",2,Liceo Scientifico Leonardo da Vinci,4,Giovedì,Mattino1,26/02/2026 09:00-11:00,Anita,Sì
"3C, 4B",2,IIS. E. Mattei,4,Giovedì,Mattino2,26/02/2026 11:00-13:00,Anita,Sì
"5AS, 5BS",2,Liceo Pascal,4,Giovedì,Pomeriggio,26/02/2026 14:00-16:00,Anita,Sì
"3C, 3D",2,Liceo Scientifico e Linguistico M.Curie,4,Venerdì,Mattino1,27/02/2026 09:00-11:00,Ida,Sì
"4AS-SAA, 4DS",2,Liceo Pascal,4,Venerdì,Pomeriggio,27/02/2026 14:00-16:00,Anita,Sì
"4AS, 4BS",2,Liceo Pascal,4,Venerdì,Pomeriggio,27/02/2026 14:00-16:00,Margherita,Sì
"4ASA, 4BSA",2,Liceo Scientifico G. Galilei,5,Lunedì,Mattino1,02/03/2026 09:00-11:00,Anita,Sì
"4BU, 4CU",2,Liceo Pascal,5,Lunedì,Pomeriggio,02/03/2026 14:00-16:00,Margherita,Sì
"5C, 5E",2,Liceo Scientifico e Linguistico M.Curie,5,Martedì,Pomeriggio,03/03/2026 14:00-16:00,Anita,Sì
"4ALSA, 4CI",2,IIS Amedeo D'Aosta,5,Giovedì,Mattino1,05/03/2026 09:00-11:00,Margherita,Sì
"3A, 4C, 5AM, 5E",4,"Liceo Scientifico P. P. Pasolini, IIS. E. Mattei",5,Giovedì,Pomeriggio,05/03/2026 14:00-16:00,Margherita,Sì
"3CL, 3GL, 5F, 5G",4,"Liceo Scientifico Leonardo da Vinci, IIS PeanoRosa",5,Venerdì,Mattino1,06/03/2026 09:00-11:00,Anita,Sì
"3CL, 3GL",2,IIS PeanoRosa,6,Mercoledì,Mattino1,11/03/2026 09:00-11:00,Anita,Sì
"4BSA, 4H",2,Liceo Scientifico G. Galilei,6,Giovedì,Mattino1,12/03/2026 09:00-11:00,Margherita,Sì
"4ASA, 4B",2,Liceo Scientifico G. Galilei,6,Giovedì,Mattino2,12/03/2026 11:00-13:00,Anita,Sì
"4BU, 4CU",2,Liceo Pascal,6,Giovedì,Pomeriggio,12/03/2026 14:00-16:00,Anita,Sì
"5C, 5E",2,Liceo Scientifico e Linguistico M.Curie,6,Giovedì,Pomeriggio,12/03/2026 14:00-16:00,Andreea,Sì
"4ALSA, 4CI",2,IIS Amedeo D'Aosta,6,Venerdì,Mattino2,13/03/2026 11:00-13:00,Ida,Sì
"4D, 4F, 4G, 4H",4,Liceo Scientifico Leonardo da Vinci,6,Venerdì,Mattino2,13/03/2026 11:00-13:00,Andreea,Sì
"4AS-SAA, 4DS",2,Liceo Pascal,6,Venerdì,Pomeriggio,13/03/2026 14:00-16:00,Margherita,Sì
"5AM, 5E",2,Liceo Scientifico P. P. Pasolini,6,Venerdì,Pomeriggio,13/03/2026 14:00-16:00,Andreea,Sì
"5AS, 5BS",2,Liceo Pascal,7,Giovedì,Pomeriggio,19/03/2026 14:00-16:00,Anita,Sì
